id,hotel,reader,helpful,overall,value,room,location,clean,check,service,business,target
0,hotel_231505,-1,-1,5,5,5,5,5,5,5,5,good
1,hotel_231505,-1,-1,1,1,1,3,2,1,3,3,good
2,hotel_231505,-1,-1,3,3,2,3,4,2,2,3,good
3,hotel_231505,4,4,4,4,4,4,4,4,3,5,good
4,hotel_231505,3,3,4,4,4,3,4,5,4,3,good
5,hotel_231505,3,2,2,3,4,3,4,3,2,3,good
6,hotel_231505,5,5,4,4,4,3,5,4,4,5,good
7,hotel_560516,2,0,2,2,5,5,3,4,5,4,good
8,hotel_560516,2,1,5,3,3,5,5,5,5,5,good
9,hotel_560516,1,1,5,5,5,5,5,5,5,3,good
10,hotel_560516,2,2,5,4,4,5,5,5,5,4,good
11,hotel_560516,3,3,5,5,3,5,5,5,5,2,good
12,hotel_560516,3,3,5,5,3,5,4,5,5,2,good
13,hotel_560516,2,2,2,2,4,4,4,4,3,3,good
14,hotel_560516,1,1,2,3,2,4,3,3,4,2,good
15,hotel_560516,3,3,5,4,4,5,4,5,5,5,good
16,hotel_560516,4,4,5,5,5,5,5,5,5,5,good
17,hotel_560516,3,0,1,2,1,2,2,2,1,2,good
18,hotel_560516,3,2,5,5,5,5,5,5,5,3,good
19,hotel_560516,4,4,5,5,5,5,5,5,5,3,good
20,hotel_560516,4,4,5,5,5,5,5,5,5,5,good
21,hotel_560516,4,4,5,5,4,5,5,5,5,3,good
22,hotel_560516,8,8,4,4,3,4,4,3,3,3,good
23,hotel_560516,15,15,5,5,5,5,5,5,5,5,good
24,hotel_560516,10,10,4,5,3,5,4,5,4,5,good
25,hotel_560516,10,9,5,5,5,5,5,5,5,5,good
26,hotel_560516,5,4,5,5,4,5,4,5,5,4,good
27,hotel_560516,7,6,5,5,5,5,5,5,5,5,good
28,hotel_560516,11,10,2,2,4,3,4,3,4,3,good
29,hotel_560516,4,4,5,5,5,5,5,5,5,5,good
30,hotel_560516,7,7,5,5,4,5,5,5,5,5,good
31,hotel_560516,5,5,4,5,4,5,5,5,5,5,good
