id,hotel,reader,helpful,overall,value,room,location,clean,check,service,business,target
43964,hotel_305810,2,1,3,3,3,3,3,3,3,3,good
32068,hotel_572859,10,10,5,5,5,5,5,5,5,5,good
166,hotel_230875,-1,-1,3,3,3,5,5,3,3,4,good
276,hotel_234752,1,0,5,5,3,5,5,4,4,3,good
19941,hotel_228621,-1,-1,5,5,5,4,5,3,4,3,good
2205,hotel_150854,7,2,3,3,2,4,2,4,2,4,good
38904,hotel_634363,3,3,3,4,4,4,4,4,4,3,good
18540,hotel_259219,-1,-1,4,3,3,4,5,5,5,5,good
35891,hotel_302434,8,7,5,4,5,3,5,4,4,3,good
49932,hotel_578371,18,11,3,2,5,4,5,1,5,2,good
46865,hotel_234578,-1,-1,3,3,2,4,3,3,3,2,good
53435,hotel_209382,2,2,5,5,5,5,5,5,5,5,good
28815,hotel_229621,10,8,5,4,4,5,5,5,5,5,good
7897,hotel_611703,12,9,5,5,5,5,5,5,5,5,good
38405,hotel_202459,2,1,4,2,3,4,4,4,4,4,good
37813,hotel_228739,3,3,5,5,5,5,5,5,5,5,good
35494,hotel_558796,-1,-1,5,5,5,5,5,5,5,5,good
12531,hotel_209422,5,3,5,5,5,5,5,5,5,5,good
51854,hotel_208454,5,4,5,5,5,5,5,5,4,5,good
47617,hotel_269682,-1,-1,2,3,3,5,4,3,4,3,good
6145,hotel_233880,9,6,5,5,5,5,5,5,5,5,good
15001,hotel_635006,5,5,5,5,5,5,5,5,5,5,good
18947,hotel_573658,6,6,5,5,5,4,5,5,4,5,good
27001,hotel_223218,2,2,4,4,4,4,4,5,4,4,good
23641,hotel_231324,-1,-1,4,3,3,5,4,5,3,3,good
42849,hotel_236078,2,2,5,5,5,5,5,5,5,4,good
37429,hotel_222912,1,1,4,4,3,5,5,5,4,3,good
46799,hotel_307326,2,2,4,4,4,5,4,5,4,4,good
16183,hotel_301413,1,1,5,3,5,5,5,5,5,5,good
31074,hotel_218524,2,1,5,5,5,4,5,5,5,5,good
26519,hotel_224948,1,1,5,4,5,4,5,5,5,4,good
55218,hotel_310780,7,7,5,5,5,4,5,5,5,5,good
49301,hotel_149397,4,2,5,4,3,5,3,3,4,3,good
38000,hotel_148045,-1,-1,2,2,3,4,3,3,3,3,good
24795,hotel_190664,11,5,4,4,4,4,4,4,4,4,good
26420,hotel_282185,2,2,4,3,3,4,3,4,4,3,good
26368,hotel_265071,1,1,5,5,4,5,5,5,5,5,good
34193,hotel_122020,4,3,5,4,5,5,5,5,5,4,good
19229,hotel_583733,2,2,5,5,5,5,5,5,5,5,good
24628,hotel_304611,1,1,5,5,3,5,4,5,5,5,good
5784,hotel_278074,5,4,5,4,5,4,5,5,5,5,good
7622,hotel_202274,6,3,3,2,3,5,4,2,4,3,good
54898,hotel_236459,1,1,5,5,5,5,5,5,5,5,good
33555,hotel_195703,-1,-1,5,4,5,5,5,5,5,3,good
33243,hotel_654030,1,1,5,4,5,5,5,5,5,5,good
9971,hotel_218486,9,9,5,5,5,5,5,5,5,5,good
15968,hotel_218492,6,6,5,5,5,5,5,5,5,5,good
42776,hotel_247957,4,4,3,2,2,3,3,3,3,2,good
43257,hotel_231519,9,9,5,5,5,5,5,5,5,5,good
42526,hotel_497689,2,1,5,5,5,5,5,5,5,5,good
50945,hotel_252106,2,2,5,5,5,5,5,5,5,3,good
31343,hotel_579774,7,6,4,5,4,4,4,4,4,4,good
41033,hotel_677598,1,1,2,2,5,5,4,3,4,3,good
14557,hotel_564868,-1,-1,4,4,5,3,5,4,4,5,good
4384,hotel_317477,4,4,5,5,5,5,5,4,5,4,good
27602,hotel_256652,2,2,5,5,5,5,5,5,5,4,good
35213,hotel_302109,4,1,4,3,3,3,5,4,3,3,good
2211,hotel_150854,6,6,5,5,4,5,5,3,5,3,good
48557,hotel_559726,-1,-1,5,5,4,4,4,5,5,4,good
35411,hotel_275848,-1,-1,5,5,5,5,5,5,5,5,good
53156,hotel_506418,1,0,4,4,5,5,5,5,5,5,good
47753,hotel_217721,-1,-1,5,5,5,5,5,5,5,5,good
12281,hotel_262330,4,2,3,3,3,3,5,2,2,5,good
34426,hotel_302435,7,1,1,1,2,3,2,1,1,2,good
48887,hotel_208453,2,1,3,4,4,5,4,3,4,3,good
21110,hotel_123004,-1,-1,5,5,4,4,5,5,5,4,good
28491,hotel_239591,-1,-1,4,4,5,5,5,5,5,4,good
17378,hotel_115755,5,3,5,5,5,4,5,4,5,5,good
39978,hotel_100586,1,1,5,5,4,4,5,5,4,4,good
9533,hotel_233585,1,1,5,5,5,5,5,5,5,5,good
35650,hotel_305813,3,2,5,4,5,4,5,5,5,5,good
3098,hotel_229602,-1,-1,5,5,5,5,5,5,5,5,good
49842,hotel_578371,2,1,5,5,5,5,5,4,5,5,good
15264,hotel_232501,2,1,1,1,1,2,1,2,1,1,good
11498,hotel_1068246,10,10,4,5,2,5,5,5,5,1,good
3095,hotel_229602,-1,-1,5,4,5,5,4,5,4,5,good
34348,hotel_242435,2,1,5,5,5,5,5,5,5,5,good
49055,hotel_307375,2,2,5,5,4,5,5,5,5,5,good
52159,hotel_237153,-1,-1,3,4,3,5,3,5,4,2,good
32917,hotel_217486,-1,-1,4,4,4,5,4,3,4,2,good
17746,hotel_615153,3,3,5,5,5,5,5,5,5,5,good
44334,hotel_226834,4,4,4,4,4,5,4,1,3,4,good
3759,hotel_478252,9,9,4,4,5,3,5,2,5,4,good
46900,hotel_229002,-1,-1,5,4,5,3,5,5,5,5,good
41654,hotel_188961,6,6,5,5,5,4,5,5,5,5,good
3085,hotel_229602,1,1,5,5,5,5,5,5,5,5,good
43694,hotel_301468,3,3,5,4,4,4,4,4,4,4,good
38023,hotel_148045,6,5,5,4,5,5,5,5,5,5,good
35924,hotel_202988,-1,-1,4,4,3,5,4,4,4,3,good
46140,hotel_209424,2,2,2,2,2,2,2,2,2,2,good
38683,hotel_198674,-1,-1,4,4,4,5,5,5,5,4,good
38209,hotel_223046,5,5,4,5,4,3,4,4,4,4,good
8708,hotel_148807,2,2,3,2,5,2,5,3,3,5,good
4745,hotel_301803,2,1,5,4,4,5,4,4,4,2,good
23920,hotel_111444,2,2,5,5,5,5,5,5,5,5,good
14127,hotel_601762,32,24,5,5,5,5,5,4,5,5,good
46599,hotel_623893,-1,-1,4,4,4,4,5,4,4,3,good
8139,hotel_305861,13,13,5,5,5,5,5,5,5,5,good
42758,hotel_247957,-1,-1,2,2,1,3,2,2,2,2,good
27891,hotel_232788,-1,-1,4,4,4,5,4,5,4,1,good
