id,hotel,reader,helpful,overall,value,room,location,clean,check,service,business,target
0, hotel_231505,-1,-1,5,5,5,5,5,5,5,5,good
1, hotel_231505,-1,-1,1,1,1,3,2,1,3,3,bad
2, hotel_231505,-1,-1,3,3,2,3,4,2,2,3,bad
3, hotel_231505,4,4,4,4,4,4,4,4,3,5,good
4, hotel_231505,3,3,4,4,4,3,4,5,4,3,good
5, hotel_231505,3,2,2,3,4,3,4,3,2,3,bad
6, hotel_231505,5,5,4,4,4,3,5,4,4,5,bad
7, hotel_560516,2,0,2,2,5,5,3,4,5,4,good
8, hotel_560516,2,1,5,3,3,5,5,5,5,5,bad
9, hotel_560516,1,1,5,5,5,5,5,5,5,3,good
10, hotel_560516,2,2,5,4,4,5,5,5,5,4,good
11, hotel_560516,3,3,5,5,4,5,5,5,5,1,bad
12, hotel_560516,3,3,5,5,3,5,5,5,5,2,good
13, hotel_560516,3,3,5,5,3,5,4,5,5,2,good
14, hotel_560516,2,2,2,2,4,4,4,4,3,3,good
15, hotel_560516,1,1,2,3,2,4,3,3,4,2,bad
16, hotel_560516,3,3,5,4,4,5,4,5,5,5,bad
17, hotel_560516,4,4,5,5,5,5,5,5,5,5,good
18, hotel_560516,3,0,1,2,1,2,2,2,1,2,bad
19, hotel_560516,3,2,5,5,5,5,5,5,5,3,good
20, hotel_560516,4,4,5,5,5,5,5,5,5,3,good
21, hotel_560516,4,4,5,5,5,5,5,5,5,5,good
22, hotel_560516,4,4,5,5,4,5,5,5,5,3,good
23, hotel_560516,8,8,4,4,3,4,4,3,3,3,good
24, hotel_560516,15,15,5,5,5,5,5,5,5,5,good
25, hotel_560516,10,10,4,5,3,5,4,5,4,5,good
26, hotel_560516,10,9,5,5,5,5,5,5,5,5,bad
27, hotel_560516,5,4,5,5,4,5,4,5,5,4,good
28, hotel_560516,7,6,5,5,5,5,5,5,5,5,good
29, hotel_560516,11,10,2,2,4,3,4,3,4,3,bad
30, hotel_560516,4,4,5,5,5,5,5,5,5,5,good
31, hotel_560516,7,7,5,5,4,5,5,5,5,5,good
32, hotel_560516,5,5,4,5,4,5,5,5,5,5,good
33, hotel_560516,4,3,3,2,3,4,3,3,3,3,bad
34, hotel_560516,10,9,3,4,3,5,3,4,4,2,good
35, hotel_560516,9,9,5,3,5,4,5,4,5,5,good
36, hotel_560516,7,6,5,5,4,5,4,5,5,3,good
37, hotel_560516,8,8,4,5,4,5,4,4,4,4,good
38, hotel_560516,13,13,5,5,4,5,5,5,5,5,good
39, hotel_560516,26,25,5,5,5,5,5,3,5,3,bad
40, hotel_560516,16,16,5,5,5,5,5,5,5,4,good
41, hotel_560516,8,8,5,5,5,5,5,5,5,4,good
42, hotel_560516,7,7,4,5,4,5,4,3,5,5,good
43, hotel_560516,-1,-1,5,4,5,5,5,4,5,5,bad
44, hotel_560516,-1,-1,5,5,5,5,5,5,5,5,bad
45, hotel_560516,-1,-1,5,5,4,5,4,5,5,4,bad
46, hotel_560516,1,1,5,4,4,5,4,4,4,4,bad
47, hotel_228507,-1,-1,2,4,2,4,3,3,3,3,good
48, hotel_228507,-1,-1,2,2,1,5,2,3,3,4,bad
49, hotel_228507,-1,-1,3,4,3,4,4,3,3,3,bad
50, hotel_228507,1,1,2,3,2,4,2,4,4,3,bad
51, hotel_228507,1,0,3,3,4,3,3,4,5,3,good
52, hotel_228507,2,1,4,3,3,5,5,5,5,5,good
53, hotel_228507,-1,-1,3,3,3,4,3,4,3,4,good
54, hotel_228507,-1,-1,4,4,3,3,5,5,5,4,good
55, hotel_228507,-1,-1,4,4,4,5,5,5,5,2,good
56, hotel_228507,1,1,4,4,3,3,4,5,4,5,good
57, hotel_228507,2,0,1,1,1,4,1,2,1,3,bad
58, hotel_228507,1,1,4,3,5,3,4,4,4,4,good
59, hotel_228507,1,1,1,1,1,1,2,2,2,2,bad
60, hotel_228507,-1,-1,3,3,2,2,3,3,3,3,bad
61, hotel_228507,-1,-1,2,2,2,2,2,3,3,1,bad
62, hotel_228507,-1,-1,4,4,2,4,3,4,3,3,bad
63, hotel_228507,1,0,1,3,3,4,4,1,1,3,bad
64, hotel_228507,-1,-1,4,4,5,4,4,5,4,3,good
65, hotel_228507,1,1,5,5,4,5,5,5,5,5,good
66, hotel_228507,1,0,1,1,1,3,1,2,2,2,bad
67, hotel_228507,-1,-1,4,3,3,4,4,5,3,3,good
68, hotel_228507,-1,-1,3,4,2,3,3,4,3,3,good
69, hotel_228507,1,1,3,5,3,3,4,4,4,2,good
70, hotel_228507,2,2,4,3,3,3,4,4,4,4,bad
71, hotel_228507,5,2,1,1,1,4,1,2,1,2,bad
72, hotel_228507,1,1,4,4,4,5,4,5,4,2,good
73, hotel_228507,2,2,5,5,5,5,5,5,5,5,good
74, hotel_228507,2,2,4,4,5,5,5,3,3,5,bad
75, hotel_228507,1,1,4,4,4,4,4,4,4,5,good
76, hotel_228507,-1,-1,2,2,3,3,3,2,3,3,bad
77, hotel_228507,-1,-1,2,1,1,4,2,3,3,1,bad
78, hotel_228507,-1,-1,4,4,4,5,4,3,3,3,bad
79, hotel_228507,-1,-1,4,4,5,2,5,5,5,5,bad
80, hotel_228507,-1,-1,5,5,4,4,5,5,5,5,bad
81, hotel_228507,-1,-1,4,3,4,4,4,2,3,4,bad
82, hotel_228507,1,1,5,5,5,5,5,5,5,5,bad
83, hotel_282607,1,0,5,5,5,5,5,5,5,5,good
84, hotel_282607,-1,-1,4,4,4,4,4,3,3,4,good
85, hotel_282607,1,1,1,2,2,3,2,1,1,1,bad
86, hotel_282607,-1,-1,2,2,2,1,3,3,3,3,bad
87, hotel_282607,-1,-1,2,2,4,2,4,1,2,2,bad
88, hotel_282607,5,5,4,4,4,4,4,4,4,3,good
89, hotel_282607,2,2,4,4,3,2,4,4,4,3,good
90, hotel_282607,3,1,2,2,1,2,4,3,1,1,good
91, hotel_282607,4,4,5,5,5,5,5,5,5,5,good
92, hotel_282607,2,2,4,4,4,3,4,4,3,3,good
93, hotel_282607,2,2,4,5,4,3,5,5,5,3,good
94, hotel_282607,1,1,4,5,4,4,5,5,5,4,good
95, hotel_282607,1,1,4,4,4,5,5,5,4,4,good
96, hotel_282607,2,1,4,5,4,3,5,5,5,5,good
97, hotel_282607,3,3,4,5,4,4,5,5,4,5,good
98, hotel_282607,2,2,4,4,4,4,5,5,4,3,good
99, hotel_282607,6,6,4,4,4,3,5,5,3,4,good
100, hotel_282607,7,5,5,5,5,5,5,5,5,5,good
101, hotel_282607,8,6,4,4,4,4,4,4,4,3,good
102, hotel_282607,-1,-1,3,3,4,3,4,4,3,5,bad
103, hotel_282607,-1,-1,5,5,5,4,5,5,5,5,bad
104, hotel_282607,-1,-1,1,2,4,3,3,1,3,2,bad
105, hotel_109413,-1,-1,3,2,2,4,3,5,4,2,bad
106, hotel_109413,-1,-1,5,5,5,5,5,5,5,5,good
107, hotel_109413,-1,-1,5,5,5,4,4,5,5,4,good
108, hotel_109413,1,1,2,2,4,3,4,4,4,4,bad
109, hotel_109413,1,1,2,3,3,5,4,2,3,3,good
110, hotel_109413,-1,-1,5,5,5,5,5,5,5,5,good
111, hotel_109413,-1,-1,5,5,5,5,5,5,4,3,good
112, hotel_109413,-1,-1,4,4,4,2,4,4,4,4,bad
113, hotel_109413,-1,-1,3,3,4,5,4,4,4,1,good
114, hotel_109413,-1,-1,5,5,5,3,5,5,5,5,good
115, hotel_109413,-1,-1,3,3,4,4,4,2,3,3,bad
116, hotel_109413,-1,-1,5,5,4,4,5,4,4,5,good
117, hotel_109413,-1,-1,4,4,4,3,4,3,3,1,bad
118, hotel_109413,1,1,5,5,4,5,5,5,5,4,good
119, hotel_109413,-1,-1,5,5,5,4,5,5,5,5,good
120, hotel_109413,-1,-1,4,4,5,5,4,2,3,4,good
121, hotel_109413,1,1,4,4,4,4,3,4,4,3,good
122, hotel_109413,2,2,2,2,2,4,2,2,2,3,bad
123, hotel_109413,1,0,4,4,4,4,5,5,4,4,bad
124, hotel_109413,-1,-1,4,4,5,3,4,5,4,2,good
125, hotel_109413,-1,-1,3,4,5,4,4,4,1,3,bad
126, hotel_109413,-1,-1,2,2,4,4,4,1,1,2,bad
127, hotel_109413,1,1,2,2,2,4,2,4,4,2,bad
128, hotel_109413,1,1,3,4,4,4,4,4,3,4,bad
129, hotel_109413,-1,-1,4,4,5,5,4,4,5,4,good
130, hotel_109413,-1,-1,5,5,5,5,5,4,4,2,good
131, hotel_109413,-1,-1,4,4,4,5,4,5,5,3,good
132, hotel_109413,-1,-1,2,3,3,4,4,3,2,1,bad
133, hotel_109413,-1,-1,4,4,4,4,4,4,4,3,good
134, hotel_109413,2,2,3,2,2,4,4,4,2,4,bad
135, hotel_109413,2,2,4,4,5,4,5,5,5,4,good
136, hotel_109413,2,2,4,5,4,5,5,5,5,5,good
137, hotel_109413,5,5,4,4,4,5,4,4,5,4,good
138, hotel_109413,6,6,5,4,5,4,5,5,5,3,bad
139, hotel_109413,2,2,4,5,5,5,4,4,5,2,good
140, hotel_290385,1,1,5,3,4,4,5,5,5,3,bad
141, hotel_290385,-1,-1,5,5,5,5,5,5,5,5,good
142, hotel_290385,-1,-1,5,5,4,5,5,5,4,3,good
143, hotel_290385,1,0,4,2,4,5,4,3,3,3,good
144, hotel_290385,-1,-1,5,5,5,5,5,5,5,5,good
145, hotel_290385,1,1,5,3,5,5,5,4,4,4,good
146, hotel_290385,3,2,1,3,3,4,2,1,1,3,bad
147, hotel_290385,1,1,4,4,4,5,4,4,4,3,good
148, hotel_290385,2,0,5,4,4,5,5,5,5,5,good
149, hotel_290385,2,2,4,4,4,5,4,5,4,4,bad
150, hotel_290385,2,2,5,5,5,4,5,5,5,5,good
151, hotel_290385,-1,-1,5,5,4,5,4,5,5,3,good
152, hotel_290385,2,2,3,3,2,5,2,5,5,4,good
153, hotel_290385,12,12,5,5,5,5,5,5,5,5,good
154, hotel_290385,6,6,4,4,4,4,5,5,5,2,good
155, hotel_290385,3,3,5,5,5,5,5,5,5,5,good
