"id","hotel","reader","helpful","overall","value","room","location","clean","check","service","business","target","probGood"
0,"hotel_80799",-1,-1,3,5,3,3,3,5,3,4,"bad","0"
1,"hotel_80799",1,1,1,1,1,1,1,3,2,1,"bad","0"
2,"hotel_80799",2,1,4,5,3,4,5,5,5,3,"good","0.846153846153846"
3,"hotel_80799",-1,-1,1,1,1,1,3,2,3,2,"bad","0"
4,"hotel_80799",3,3,1,2,1,3,2,5,5,1,"bad","0"
5,"hotel_80799",1,1,1,1,1,1,1,2,2,2,"bad","0"
6,"hotel_80799",1,1,1,1,1,1,1,2,2,3,"bad","0"
7,"hotel_80799",8,4,5,5,5,5,5,5,5,5,"good","0.999659863945578"
8,"hotel_80799",9,2,4,4,4,2,4,4,4,3,"good","1"
9,"hotel_80799",4,0,4,5,3,4,5,4,5,3,"good","1"
10,"hotel_80799",7,1,4,5,3,3,4,4,4,3,"good","1"
11,"hotel_80799",4,0,3,4,3,3,3,3,3,3,"bad","0.333333333333333"
12,"hotel_80799",3,2,2,2,3,2,3,3,3,3,"bad","0.333333333333333"
13,"hotel_80799",6,6,2,4,3,1,3,3,3,1,"bad","0"
14,"hotel_80799",2,1,2,2,2,2,2,5,5,3,"bad","0"
15,"hotel_80799",9,5,1,1,2,1,2,1,1,2,"bad","0"
16,"hotel_80799",3,2,1,1,1,1,1,2,2,1,"bad","0"
17,"hotel_80799",3,1,1,1,1,1,1,1,1,1,"bad","0"
18,"hotel_80799",17,15,4,3,3,4,4,4,4,4,"bad","0.277777777777778"
19,"hotel_80799",19,16,1,1,1,1,1,1,1,1,"bad","0"
20,"hotel_80799",4,2,2,2,3,1,3,4,4,3,"bad","0"
21,"hotel_80799",6,5,1,2,3,1,3,1,1,1,"bad","0"
22,"hotel_80799",7,5,1,1,1,1,2,1,2,1,"bad","0"
23,"hotel_80799",-1,-1,2,2,2,4,2,5,2,1,"bad","0"
24,"hotel_80799",-1,-1,4,4,5,4,5,5,4,4,"good","0.967741935483871"
25,"hotel_80799",-1,-1,1,1,1,1,1,1,1,1,"bad","0"
26,"hotel_80799",-1,-1,2,2,3,3,4,4,4,2,"bad","0"
27,"hotel_80799",-1,-1,2,2,3,3,4,4,4,4,"bad","0"
28,"hotel_80799",-1,-1,3,3,2,5,4,5,5,4,"bad","0"
29,"hotel_80799",-1,-1,3,2,3,4,4,2,3,1,"bad","0"
30,"hotel_80799",-1,-1,3,4,3,2,4,4,3,3,"good","1"
31,"hotel_80799",-1,-1,3,3,3,3,3,5,5,3,"good","1"
32,"hotel_80799",-1,-1,2,3,1,4,1,3,2,1,"bad","0"
33,"hotel_80799",-1,-1,1,1,1,1,2,4,3,2,"bad","0"
34,"hotel_80799",-1,-1,3,4,4,3,4,5,4,3,"good","0.875"
35,"hotel_80799",-1,-1,1,1,2,1,1,2,2,3,"bad","0"
36,"hotel_80799",-1,-1,2,3,4,4,4,4,4,2,"good","0.565217391304348"
37,"hotel_80799",-1,-1,3,3,3,3,3,3,3,3,"bad","0.0714285714285714"
38,"hotel_99368",1,1,4,5,4,5,4,4,4,4,"good","0.986486486486487"
39,"hotel_99368",-1,-1,5,5,5,5,5,5,5,5,"good","0.99767209843698"
