"id","hotel","reader","helpful","overall","value","room","location","clean","check","service","business","target"
0,"hotel_80799",-1,-1,3,5,3,3,3,5,3,4,"bad"
1,"hotel_80799",1,1,1,1,1,1,1,3,2,1,"bad"
2,"hotel_80799",2,1,4,5,3,4,5,5,5,3,"good"
3,"hotel_80799",-1,-1,1,1,1,1,3,2,3,2,"good"
4,"hotel_80799",3,3,1,2,1,3,2,5,5,1,"bad"
5,"hotel_80799",1,1,1,1,1,1,1,2,2,2,"bad"
6,"hotel_80799",1,1,1,1,1,1,1,2,2,3,"bad"
7,"hotel_80799",8,4,5,5,5,5,5,5,5,5,"good"
8,"hotel_80799",9,2,4,4,4,2,4,4,4,3,"good"
9,"hotel_80799",4,0,4,5,3,4,5,4,5,3,"good"
10,"hotel_80799",7,1,4,5,3,3,4,4,4,3,"good"
11,"hotel_80799",4,0,3,4,3,3,3,3,3,3,"good"
12,"hotel_80799",3,2,2,2,3,2,3,3,3,3,"bad"
13,"hotel_80799",6,6,2,4,3,1,3,3,3,1,"bad"
14,"hotel_80799",2,1,2,2,2,2,2,5,5,3,"bad"
15,"hotel_80799",9,5,1,1,2,1,2,1,1,2,"bad"
16,"hotel_80799",3,2,1,1,1,1,1,2,2,1,"bad"
17,"hotel_80799",3,1,1,1,1,1,1,1,1,1,"bad"
18,"hotel_80799",17,15,4,3,3,4,4,4,4,4,"good"
19,"hotel_80799",19,16,1,1,1,1,1,1,1,1,"bad"
20,"hotel_80799",4,2,2,2,3,1,3,4,4,3,"bad"
21,"hotel_80799",6,5,1,2,3,1,3,1,1,1,"bad"
22,"hotel_80799",7,5,1,1,1,1,2,1,2,1,"bad"
23,"hotel_80799",-1,-1,2,2,2,4,2,5,2,1,"bad"
24,"hotel_80799",-1,-1,4,4,5,4,5,5,4,4,"good"
25,"hotel_80799",-1,-1,1,1,1,1,1,1,1,1,"bad"
26,"hotel_80799",-1,-1,2,2,3,3,4,4,4,2,"bad"
27,"hotel_80799",-1,-1,2,2,3,3,4,4,4,4,"bad"
28,"hotel_80799",-1,-1,3,3,2,5,4,5,5,4,"bad"
29,"hotel_80799",-1,-1,3,2,3,4,4,2,3,1,"good"
30,"hotel_80799",-1,-1,3,4,3,2,4,4,3,3,"bad"
