id,hotel,reader,helpful,overall,value,room,location,clean,check,service,business,target
54033,' hotel_611782',9,9,5,5,5,5,5,5,5,5,' good'
46198,' hotel_224224',-1,-1,5,5,5,5,5,5,5,5,' good'
29984,' hotel_217378',-1,-1,4,4,4,3,4,1,3,2,' good'
40558,' hotel_114026',7,5,5,5,3,5,4,5,5,3,' good'
30872,' hotel_224948',1,1,5,4,4,5,5,5,5,4,' good'
48724,' hotel_115754',3,3,5,5,5,4,5,5,5,5,' good'
40695,' hotel_304485',4,2,5,5,5,5,5,5,5,4,' good'
41744,' hotel_195007',3,3,4,5,4,4,4,5,5,1,' good'
14036,' hotel_307368',7,6,5,5,5,5,5,5,5,5,' good'
42045,' hotel_292142',1,0,5,4,5,5,5,5,5,5,' good'
47828,' hotel_498233',-1,-1,5,4,5,4,5,4,4,5,' good'
6545,' hotel_626311',1,1,5,5,5,4,4,5,5,3,' good'
12789,' hotel_306175',3,2,5,5,5,5,5,5,5,4,' good'
15900,' hotel_302294',4,4,5,5,4,5,5,5,5,4,' good'
45542,' hotel_115644',15,11,5,5,5,5,5,5,5,5,' good'
36521,' hotel_550019',3,3,5,5,5,5,5,5,5,5,' good'
19794,' hotel_286542',7,7,5,5,5,5,5,5,5,4,' good'
11671,' hotel_218486',3,3,5,5,4,5,4,5,5,5,' good'
57896,' hotel_578371',4,4,5,5,4,5,4,3,4,4,' good'
19775,' hotel_739096',2,2,4,5,4,4,5,5,4,5,' good'
51871,' hotel_217844',2,2,5,5,5,5,5,5,5,5,' good'
39717,' hotel_235644',1,1,5,3,5,5,5,5,5,5,' good'
52027,' hotel_296915',3,3,4,5,4,5,4,4,4,3,' good'
15280,' hotel_582371',2,1,5,4,4,4,5,5,5,5,' good'
7612,' hotel_151679',1,1,4,4,3,3,3,3,4,4,' good'
30555,' hotel_227459',3,3,5,5,5,5,5,4,4,4,' good'
21688,' hotel_498185',-1,-1,5,5,5,5,5,5,5,5,' good'
11111,' hotel_114134',1,1,5,5,5,5,5,5,5,5,' good'
62284,' hotel_302133',-1,-1,5,4,5,4,5,4,5,4,' good'
58252,' hotel_578371',3,3,5,5,5,5,5,2,5,3,' good'
12754,' hotel_306175',-1,-1,4,4,4,5,5,5,5,3,' good'
30049,' hotel_200263',-1,-1,4,4,3,4,4,4,4,3,' good'
44205,' hotel_223046',1,1,4,4,3,5,4,3,3,4,' good'
12700,' hotel_651045',-1,-1,5,5,5,5,4,5,5,5,' good'
27849,' hotel_189397',-1,-1,4,3,3,4,4,2,3,1,' good'
20118,' hotel_804847',5,5,4,4,4,4,5,3,5,5,' good'
36324,' hotel_285755',-1,-1,4,5,5,3,3,4,4,4,' good'
10396,' hotel_217616',-1,-1,5,4,4,5,5,5,4,4,' good'
40937,' hotel_268507',2,2,5,4,5,5,5,5,5,5,' good'
19866,' hotel_256605',-1,-1,4,3,5,5,4,4,2,3,' good'
58109,' hotel_578371',1,1,4,3,5,3,5,5,5,5,' good'
62869,' hotel_233571',3,2,4,4,3,5,5,5,4,3,' good'
10486,' hotel_113317',-1,-1,5,4,4,5,5,5,5,4,' good'
42792,' hotel_292867',-1,-1,4,4,5,5,5,4,5,3,' good'
58682,' hotel_508162',3,3,4,3,3,3,5,4,5,4,' good'
50065,' hotel_191438',5,3,5,5,5,5,5,5,5,4,' good'
11103,' hotel_325383',-1,-1,5,5,5,5,5,4,5,4,' good'
53660,' hotel_192044',3,2,5,5,5,5,5,5,5,5,' good'
57306,' hotel_578371',7,5,5,5,5,4,5,5,5,5,' good'
11286,' hotel_313883',4,4,4,3,3,4,4,4,4,4,' good'
31014,' hotel_307581',3,3,4,4,3,4,5,5,5,3,' good'
38033,' hotel_313884',6,6,5,5,5,5,5,5,5,5,' good'
25571,' hotel_255396',1,1,5,5,5,5,5,5,5,3,' good'
59272,' hotel_291544',3,3,5,4,5,5,5,5,5,5,' good'
7797,' hotel_275581',6,3,4,3,4,3,3,3,3,4,' good'
38013,' hotel_313884',12,10,5,5,5,5,5,4,5,4,' good'
238,' hotel_234752',1,1,5,3,5,5,5,5,5,5,' good'
62658,' hotel_307577',-1,-1,5,5,5,5,5,5,5,5,' good'
59023,' hotel_252106',9,8,5,5,5,3,5,5,5,5,' good'
16575,' hotel_257312',1,1,4,4,4,5,5,5,5,4,' good'
40251,' hotel_284987',4,4,5,5,5,5,5,5,5,5,' good'
32326,' hotel_594629',3,3,4,4,4,4,5,5,5,3,' good'
56978,' hotel_149397',4,4,4,4,3,5,3,3,4,3,' good'
32761,' hotel_148598',2,2,4,5,4,4,4,3,4,4,' good'
26754,' hotel_112325',-1,-1,4,4,4,4,5,3,3,4,' good'
36022,' hotel_218524',9,9,5,5,5,5,5,5,5,5,' good'
48457,' hotel_268228',1,1,4,4,5,5,5,5,5,5,' good'
36812,' hotel_265628',7,6,5,5,3,5,5,5,5,3,' good'
